text,label
"This movie was absolutely fantastic! Great acting and storyline.",Entertainment - Positive
"The app keeps crashing on my phone. Very frustrating experience.",Technology - Negative
"Amazing customer service. They resolved my issue quickly.",Customer Service - Positive
"The food was cold and tasteless. Won't be returning.",Restaurant - Negative
"Great value for money. Highly recommend this product.",Product Review - Positive
"The website is difficult to navigate and confusing.",User Experience - Negative
"Excellent quality and fast shipping. Very satisfied.",E-commerce - Positive
"Poor internet connection in this area. Needs improvement.",Infrastructure - Negative
"The concert was incredible. Best performance I've ever seen.",Entertainment - Positive
"Traffic congestion is getting worse every day.",Transportation - Negative
